Feature,Importance
OccupancyPressure,0.29467811988168047
Lag_14,0.1025486502709598
Lag_1,0.09337368443339544
RollingMin_30,0.090943290173594
RollingMax_30,0.08103990509122529
RollingMean_30,0.07340833646025269
RollingMax_7,0.07063641770168583
RollingMean_7,0.06980320926103005
RollingMean_14,0.06921598798864766
Lag_7,0.02745514403154989
RollingMin_7,0.019868749480909286
Lag_30,0.0037770705108093237
RollingStd_30,0.001325364139477983
Week,0.000796207737896426
Children apprehended and placed in CBP custody*,0.00024275119382027472
Children transferred out of CBP custody,0.00020422191036422366
Month,0.00018163336407616296
RollingStd_7,9.90906193805178e-05
Children in CBP custody,9.40135678642055e-05
NetFlow,7.703830652936205e-05
Children discharged from HHS Care,3.866373350690625e-05
TransferEfficiency,3.3747515337403075e-05
DischargeRatio,2.777911501803541e-05
Day,2.2966285525939128e-05
PctChange,2.2426390735026933e-05
DailyChange,2.146039513966325e-05
MonthCos,2.098558899212391e-05
MonthSin,1.6828518335904345e-05
WeekdaySin,8.038614822879751e-06
WeekdayCos,6.818593019982521e-06
DayOfWeek,6.267013895959778e-06
Quarter,2.5970713168443316e-06
Year,2.041759790054326e-06
IsMonthStart,2.853292589123783e-07
IsMonthEnd,2.079501554644126e-07
